station,valid,tmpf,dwpf,relh,sknt,drct,p01i,vsby,skyc1
BDL,2026-07-20 00:51,65.00,51.00,60.49,5.00,340.00,0.00,10.00,CLR
BDL,2026-07-20 01:51,60.00,51.00,72.13,4.00,330.00,0.00,10.00,CLR
BDL,2026-07-20 02:51,60.00,51.00,72.13,0.00,0.00,0.00,10.00,CLR
BDL,2026-07-20 03:51,55.00,51.00,86.35,0.00,0.00,0.00,10.00,CLR
BDL,2026-07-20 04:51,57.00,53.00,86.46,4.00,170.00,0.00,10.00,FEW
BDL,2026-07-20 05:51,54.00,51.00,89.55,3.00,330.00,0.00,10.00,BKN
BDL,2026-07-20 06:51,58.00,53.00,83.40,0.00,0.00,0.00,10.00,BKN
BDL,2026-07-20 07:51,65.00,53.00,65.12,3.00,180.00,0.00,10.00,BKN
BDL,2026-07-20 08:51,69.00,51.00,52.69,3.00,M,0.00,10.00,BKN
BDL,2026-07-20 09:51,72.00,52.00,49.37,3.00,M,0.00,10.00,BKN
BDL,2026-07-20 10:51,74.00,51.00,44.48,0.00,0.00,0.00,10.00,FEW
BDL,2026-07-20 11:51,78.00,49.00,36.16,9.00,170.00,0.00,10.00,FEW
BDL,2026-07-20 12:51,79.00,50.00,36.32,10.00,230.00,0.00,10.00,FEW
BDL,2026-07-20 13:51,80.00,50.00,35.15,6.00,M,0.00,10.00,FEW
BDL,2026-07-20 14:51,81.00,51.00,35.31,7.00,210.00,0.00,10.00,FEW
BDL,2026-07-20 15:51,81.00,50.00,34.02,8.00,250.00,0.00,10.00,FEW
BDL,2026-07-20 16:51,81.00,50.00,34.02,9.00,200.00,0.00,10.00,FEW
BDL,2026-07-20 17:51,80.00,51.00,36.48,7.00,210.00,0.00,10.00,FEW
BDL,2026-07-20 18:51,79.00,50.00,36.32,9.00,220.00,0.00,10.00,FEW
BDL,2026-07-20 19:51,76.00,51.00,41.61,7.00,190.00,0.00,10.00,FEW
BDL,2026-07-20 20:51,72.00,51.00,47.58,10.00,180.00,0.00,10.00,FEW
BDL,2026-07-20 21:51,70.00,54.00,56.86,9.00,180.00,0.00,10.00,SCT
BDL,2026-07-20 22:51,68.00,56.00,65.48,7.00,190.00,0.00,10.00,SCT
BDL,2026-07-20 23:51,66.00,57.00,72.74,5.00,190.00,0.00,10.00,BKN
BDL,2026-07-21 00:51,65.00,58.00,78.08,6.00,180.00,0.00,10.00,BKN
BDL,2026-07-21 01:51,65.00,59.00,80.92,6.00,180.00,0.00,10.00,BKN
