"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20260720_20260819.csv"
"C","Report for: 07/20/2026 - 08/19/2026"
"C","Report generated: 08/20/2026 10:38:14 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","07/20/2026","01",12158.9
"D","07/20/2026","02",11672.76
"D","07/20/2026","03",11458.13
"D","07/20/2026","04",11083.58
"D","07/20/2026","05",11088.35
"D","07/20/2026","06",11357.97
"D","07/20/2026","07",11503.01
"D","07/20/2026","08",11759.17
"D","07/20/2026","09",11535.13
"D","07/20/2026","10",11191.52
"D","07/20/2026","11",10966.36
"D","07/20/2026","12",11102.26
"D","07/20/2026","13",11443.58
"D","07/20/2026","14",11735.17
"D","07/20/2026","15",12320.78
"D","07/20/2026","16",13286.22
"D","07/20/2026","17",14622.15
"D","07/20/2026","18",16156.9
"D","07/20/2026","19",17300.15
"D","07/20/2026","20",17337.58
"D","07/20/2026","21",16818.58
"D","07/20/2026","22",16001.42
"D","07/20/2026","23",14703.07
"D","07/20/2026","24",13381.92
"D","07/21/2026","01",12439.6
"D","07/21/2026","02",12413.75
"D","07/21/2026","03",12320.54
"D","07/21/2026","04",12101.22
"D","07/21/2026","05",12212.04
"D","07/21/2026","06",12514.8
"D","07/21/2026","07",12693.01
"D","07/21/2026","08",12948.34
"D","07/21/2026","09",13037.79
"D","07/21/2026","10",13249.78
"D","07/21/2026","11",13734.63
"D","07/21/2026","12",14397.54
"D","07/21/2026","13",14851.58
"D","07/21/2026","14",14806.86
"D","07/21/2026","15",15092.32
"D","07/21/2026","16",15746.14
"D","07/21/2026","17",16272.0
"D","07/21/2026","18",16500.43
"D","07/21/2026","19",16491.18
"D","07/21/2026","20",16444.21
"D","07/21/2026","21",16361.33
"D","07/21/2026","22",15920.41
"D","07/21/2026","23",14989.71
"D","07/21/2026","24",13993.49
"D","07/22/2026","01",13706.28
"D","07/22/2026","02",14019.98
"D","07/22/2026","03",14164.96
"D","07/22/2026","04",14008.51
"D","07/22/2026","05",14143.25
"D","07/22/2026","06",14455.91
"D","07/22/2026","07",14624.71
"D","07/22/2026","08",14783.4
"D","07/22/2026","09",15115.08
"D","07/22/2026","10",15052.45
"D","07/22/2026","11",15266.21
"D","07/22/2026","12",15283.68
"D","07/22/2026","13",15780.01
"D","07/22/2026","14",16387.69
"D","07/22/2026","15",16788.02
"D","07/22/2026","16",17055.37
"D","07/22/2026","17",17475.1
"D","07/22/2026","18",18348.95
"D","07/22/2026","19",18866.19
"D","07/22/2026","20",18751.8
"D","07/22/2026","21",18332.06
"D","07/22/2026","22",17267.92
"D","07/22/2026","23",15682.23
"D","07/22/2026","24",14173.1
"D","07/23/2026","01",13086.86
"D","07/23/2026","02",12882.56
"D","07/23/2026","03",12617.38
"D","07/23/2026","04",12370.28
"D","07/23/2026","05",12334.4
"D","07/23/2026","06",12706.52
"D","07/23/2026","07",12606.34
"D","07/23/2026","08",12327.47
"D","07/23/2026","09",12200.82
"D","07/23/2026","10",11707.98
"D","07/23/2026","11",11567.08
"D","07/23/2026","12",11071.45
"D","07/23/2026","13",11243.61
"D","07/23/2026","14",11598.54
"D","07/23/2026","15",11928.15
"D","07/23/2026","16",12829.13
"D","07/23/2026","17",14129.47
"D","07/23/2026","18",15579.12
"D","07/23/2026","19",16558.25
"D","07/23/2026","20",16633.81
"D","07/23/2026","21",16235.68
"D","07/23/2026","22",15542.22
"D","07/23/2026","23",14327.04
"D","07/23/2026","24",13225.34
"D","07/24/2026","01",12573.65
"D","07/24/2026","02",12059.55
"D","07/24/2026","03",11786.52
"D","07/24/2026","04",11676.27
"D","07/24/2026","05",11748.03
"D","07/24/2026","06",11909.58
"D","07/24/2026","07",11770.95
"D","07/24/2026","08",11883.15
