station,valid,tmpf,dwpf,relh,sknt,drct,p01i,vsby,skyc1
BDR,2026-07-20 00:52,65.00,55.00,70.05,3.00,330.00,0.00,10.00,CLR
BDR,2026-07-20 01:52,66.00,51.00,58.42,8.00,350.00,0.00,10.00,CLR
BDR,2026-07-20 02:52,64.00,52.00,64.99,6.00,360.00,0.00,10.00,CLR
BDR,2026-07-20 03:52,64.00,51.00,62.64,5.00,10.00,0.00,10.00,CLR
BDR,2026-07-20 04:52,63.00,52.00,67.31,6.00,40.00,0.00,10.00,CLR
BDR,2026-07-20 05:52,63.00,51.00,64.87,0.00,0.00,0.00,10.00,CLR
BDR,2026-07-20 06:52,64.00,52.00,64.99,4.00,10.00,0.00,10.00,CLR
BDR,2026-07-20 07:52,66.00,55.00,67.66,4.00,90.00,0.00,10.00,CLR
BDR,2026-07-20 08:52,69.00,55.00,61.02,3.00,90.00,0.00,10.00,CLR
BDR,2026-07-20 09:52,72.00,53.00,51.22,4.00,40.00,0.00,10.00,CLR
BDR,2026-07-20 10:52,72.00,57.00,59.24,7.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 11:52,73.00,56.00,55.24,6.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 12:52,75.00,54.00,48.04,7.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 13:52,76.00,50.00,40.10,6.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 14:52,78.00,48.00,34.83,7.00,210.00,0.00,10.00,CLR
BDR,2026-07-20 15:52,78.00,49.00,36.16,5.00,200.00,0.00,10.00,CLR
BDR,2026-07-20 16:52,79.00,52.00,39.11,6.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 17:52,76.00,52.00,43.18,8.00,150.00,0.00,10.00,CLR
BDR,2026-07-20 18:52,76.00,56.00,49.97,8.00,160.00,0.00,10.00,CLR
BDR,2026-07-20 19:52,74.00,59.00,59.51,5.00,170.00,0.00,10.00,CLR
BDR,2026-07-20 20:52,72.00,58.00,61.41,7.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 21:52,71.00,61.00,70.70,6.00,190.00,0.00,10.00,CLR
BDR,2026-07-20 22:52,70.00,62.00,75.78,3.00,180.00,0.00,10.00,CLR
BDR,2026-07-20 23:52,68.00,62.00,81.15,0.00,0.00,0.00,10.00,CLR
BDR,2026-07-21 00:52,69.00,63.00,81.22,3.00,150.00,0.00,10.00,CLR
BDR,2026-07-21 01:52,68.00,63.00,84.05,3.00,170.00,0.00,10.00,CLR
BDR,2026-07-21 02:52,68.00,64.00,87.05,0.00,0.00,0.00,10.00,CLR
